,target,A,P,C,LK,WK,A_Coef,LKG,N
57,0,-672,-600,2594,-1612,405,-3468,-1338,57
58,0,-350,-90,1566,-500,440,-2611,-936,58
59,0,-2639,-2040,-1642,-2512,-1495,-3108,-3045,59
60,0,-3122,-2955,365,-3116,-2405,-1910,-2781,60
61,0,-3255,-3300,1449,-3540,-2260,-2341,-2493,61
62,0,-2464,-2460,2021,-2844,-1445,-1390,-2787,62
63,0,-1862,-1485,345,-1568,-1305,-453,-1338,63
64,0,-2170,-1890,593,-2100,-1525,-3434,-2256,64
65,0,-2100,-1995,1718,-2592,-1060,-2258,-2781,65
66,0,-1078,-690,662,-628,-705,-3297,-1152,66
67,0,-1309,-810,-34,-712,-865,-2393,-1206,67
68,0,-1057,-660,662,-872,-890,-3146,-702,68
69,0,-2205,-1620,-1186,-1500,-2245,-1077,-1401,69
70,1,1225,1725,296,1616,1150,-534,1578,70
72,1,966,1350,917,764,1315,-71,771,72
73,1,2261,2145,3111,1468,2995,-1674,1635,73
74,1,658,1020,1076,920,775,-606,921,74
75,1,623,1185,55,560,535,310,783,75
76,1,1008,1620,-213,1108,360,-786,1164,76
77,1,3381,3600,917,3168,2415,-159,2751,77
78,1,2142,2489,828,2632,1540,454,2484,78
79,1,868,1080,1807,252,1175,-1752,636,79
80,1,455,765,1331,352,680,922,1038,80
81,1,1988,2040,2394,876,2630,714,1035,81
82,1,3024,3090,1821,1992,2665,563,1959,82
83,1,2583,2864,1028,2388,2205,-3138,2217,83
84,1,2541,2820,1035,2316,2350,-1648,1953,84
85,1,1673,1890,1656,1544,1600,-2167,1989,85
86,1,2100,2145,2339,1188,2165,-2961,1725,86
87,1,2170,2745,-276,3048,1695,-919,2892,87
88,1,3710,3570,2477,3144,3510,1170,2091,88
89,1,3500,3330,2766,2652,3505,406,2361,89
90,1,2954,3239,800,3176,2270,-2655,2745,90
91,1,2016,2055,2442,1540,2325,-1490,1557,91
92,1,2050,2190,1904,1940,1810,-1373,1557,92
93,1,1897,1830,3008,1000,2645,1391,1029,93
94,1,1736,2535,-1228,3516,770,323,2742,94
95,1,693,1230,124,1408,660,-914,1299,95
96,1,2400,2640,1276,2216,2395,-1133,2112,96
97,1,2170,2610,393,2648,1105,-2466,2757,97
98,1,1603,2145,48,1936,905,-1757,2217,98
99,1,1988,2265,1242,1728,1765,-2422,1689,99
100,1,371,630,1628,-276,970,-393,252,100
101,1,1476,1545,2497,412,1815,-2542,909,101
102,1,2506,2505,2449,1304,2805,-302,1425,102
103,1,2310,2700,600,2328,1750,-1253,2085,103
104,1,2149,2385,1373,1844,2120,-1242,1842,104
105,1,2064,2190,1980,1000,2275,-2057,1035,105
106,1,2079,2010,2939,1460,2375,-1767,1998,106
107,1,1225,1545,1173,984,1210,-863,1185,107
108,1,2842,3135,841,3552,2160,-1358,3048,108
109,1,1869,2085,1621,1464,1715,-2872,1080,109
110,1,1799,1935,2007,1280,2190,-2375,780,110
111,1,2450,2835,593,2064,2300,-932,1293,111
112,1,2275,2219,2794,1584,2855,-2501,1170,112
113,1,2282,2670,634,1888,2030,2072,1557,113
114,1,3563,3630,1580,3104,3300,67,2346,114
115,1,2225,2430,1545,2516,1940,-2362,1887,115
116,1,2156,2055,3084,1056,2830,-276,648,116
117,1,2288,2430,1794,1832,2420,-1526,1953,117
119,1,2905,3104,1248,2824,2630,-1547,2358,119
120,1,3051,3120,1842,2112,3155,1291,1962,120
121,1,1582,1935,979,1088,1160,-991,1431,121
122,1,203,825,-289,-100,280,-324,507,122
123,1,1785,1710,3084,772,2200,-1626,1113,123
124,1,77,90,2994,-1696,1255,-1274,-1170,124
125,1,2009,2025,2546,1296,2690,-422,1374,125
126,1,1938,2370,469,1992,1315,-219,1704,126
127,1,1470,1530,2504,768,1780,-2353,1155,127
128,1,2996,3300,724,2904,2210,-2700,1953,128
129,1,1169,1245,2490,16,1795,756,381,129
130,1,1694,1590,3298,768,2120,-1773,1284,130
131,1,2142,2235,2152,1428,2470,-1702,1245,131
132,1,-350,105,524,388,-315,-148,783,132
133,1,196,750,96,232,320,-344,783,133
134,1,-224,90,1331,-44,385,362,939,134
136,1,1036,1395,1069,1432,1215,-1084,1311,136
137,1,-217,480,-710,532,-500,-1970,1035,137
138,1,-196,420,-345,180,-225,-1885,654,138
141,2,-1792,-1335,-117,-984,-1290,2425,-282,141
142,2,-1778,-1320,-69,-1592,-1285,1385,-681,142
144,2,-2842,-2145,-2456,-1892,-2770,-139,-1068,144
145,2,-3269,-2550,-3194,-2032,-3220,1559,-777,145
146,2,-3115,-2550,-2035,-2444,-3060,-2389,-1206,146
147,2,-2373,-2055,193,-2080,-1820,-189,-1596,147
148,2,-2226,-1680,-959,-1604,-2100,-1350,-654,148
149,2,-3563,-2850,-3608,-1880,-3415,852,-1020,149
150,2,-2835,-2400,-924,-2096,-2455,585,-681,150
151,2,-2709,-1965,-2628,-1528,-2775,2382,-792,151
152,2,-2534,-1845,-2049,-1516,-2490,146,-522,152
153,2,-3290,-2685,-2511,-2268,-3190,-1278,-1599,153
154,2,-3164,-2670,-1711,-2448,-2880,-562,-813,154
155,2,-3283,-2670,-2601,-2148,-3280,1203,-945,155
156,2,-3178,-2940,-234,-2936,-2410,-1263,-1593,156
157,2,-2625,-1650,-3788,-1572,-2930,215,-942,157
159,2,-3073,-2415,-2532,-1932,-3180,778,-672,159
160,2,-2338,-1740,-1414,-1344,-2260,-1528,-129,160
162,2,-2681,-2130,-1476,-2080,-2420,378,-1464,162
163,2,-2331,-1890,-496,-1816,-1815,-191,-1074,163
164,2,-3318,-3060,-496,-3104,-2685,1778,-1455,164
165,2,-2646,-2520,1124,-2728,-1950,-2409,-1434,165
166,2,-2408,-1860,-1159,-1872,-2170,314,-792,166
167,2,-2611,-2070,-1290,-1480,-2470,-972,-588,167
168,2,-3171,-2565,-2339,-2444,-3315,-273,-1206,168
170,2,-3402,-2745,-3042,-1848,-3150,2125,-1113,170
171,2,-3031,-2595,-1207,-2480,-2430,2105,-1734,171
172,2,-3227,-2790,-1455,-2796,-2840,-301,-1602,172
173,2,-3136,-2625,-1759,-2604,-2840,978,-1335,173
174,2,-3535,-2805,-3663,-2036,-3450,572,-1047,174
175,2,-3556,-3390,-276,-3224,-2550,163,-1413,175
176,2,-3234,-2730,-1897,-2404,-3105,725,-1326,176
177,2,-3598,-3150,-2076,-2568,-3445,92,-1713,177
178,2,-3080,-2670,-1083,-2428,-2865,1266,-1596,178
179,2,-2569,-2040,-1221,-1720,-2190,-2949,-1068,179
180,2,-3129,-2820,-483,-2788,-2780,347,-2127,180
181,2,-2394,-2130,524,-2204,-1570,377,-1161,181
183,2,-2961,-2640,-379,-2716,-2405,599,-1197,183
184,2,-2093,-1590,-614,-1168,-1525,1575,-654,184
185,2,-3024,-2280,-2980,-1696,-3240,-547,-1056,185
186,2,-2849,-2070,-2980,-1496,-3075,288,-546,186
187,2,-3479,-3045,-1780,-2796,-3280,-431,-1734,187
189,2,-3703,-3630,124,-3552,-2720,365,-2220,189
190,2,-3465,-3045,-1656,-2964,-3070,788,-1467,190
191,2,-3227,-2955,-462,-2784,-2635,-625,-1599,191
192,2,-2807,-2715,1138,-2620,-1890,-1013,-1206,192
193,2,-3542,-3000,-2580,-2428,-3505,243,-1335,193
194,2,-2639,-2340,62,-2204,-1780,-478,-1566,194
195,2,-2156,-2040,1587,-2508,-1025,263,-1860,195
196,2,-2163,-1950,1076,-2252,-1385,873,-1728,196
197,2,-1757,-1575,1511,-1868,-1015,60,-1329,197
198,2,-2282,-1740,-1028,-1508,-2100,-1304,-909,198
199,2,-2184,-2175,2304,-2856,-880,-1782,-2112,199
202,2,-3290,-3165,345,-3112,-2605,-559,-2118,202
203,2,-2226,-2130,1683,-2416,-1200,3846,-1602,203
204,2,-2457,-2040,-434,-2332,-1855,-691,-1599,204
205,2,-2583,-2445,1055,-2600,-1750,-979,-1992,205
206,2,-3255,-2925,-821,-2588,-2680,-285,-1593,206
208,2,-2828,-2430,-752,-2448,-2475,-1012,-1470,208
209,2,-2506,-2235,372,-2176,-1785,1027,-1413,209
