,UNS,STG,SCG,STR,LPR,PEG,N
105,Middle,-20,-15,9,-24,21,105
106,Middle,-23,-16,13,-20,13,106
107,Middle,-18,-19,16,-9,8,107
108,Middle,-17,-18,5,32,-16,108
109,High,-19,-15,33,-12,38,109
110,Low,-21,-19,34,-22,-13,110
113,High,-16,10,-45,-9,33,113
114,Middle,-19,14,-18,-18,9,114
115,Middle,-20,19,-29,12,-1,115
116,very_low,-22,15,-18,17,-39,116
117,High,-17,24,-18,31,24,117
118,Middle,-20,33,-3,-32,20,118
119,High,-16,16,-1,-17,35,119
120,Low,-20,20,-7,16,-33,120
121,Low,-23,30,-12,23,-21,121
122,Low,-18,10,3,-38,-12,122
123,Middle,-19,40,7,-24,37,123
124,High,-16,45,5,0,30,124
125,High,-17,35,20,43,4,125
126,High,-19,25,48,-27,20,126
127,Low,-22,31,33,-20,-17,127
128,Low,-23,27,25,14,-32,128
129,Middle,-19,15,25,39,-17,129
130,Low,-10,-40,-45,-43,-12,130
131,Middle,-9,-27,-21,-23,21,131
132,very_low,-4,-41,-29,6,-39,132
135,Middle,-8,-27,-14,-18,4,135
136,Low,-11,-35,-7,-1,-20,136
137,Low,-12,-39,-15,29,-36,137
138,Middle,-8,-36,10,-31,11,138
139,Low,-11,-44,6,-22,-16,139
141,Middle,-7,-30,19,29,-6,141
142,Middle,-5,-37,33,-27,10,142
143,Low,-10,-30,34,-27,-17,143
144,Middle,-7,-24,40,7,2,144
145,High,-3,-25,29,46,19,145
146,Low,-12,-20,-28,-25,-11,146
147,very_low,-16,-18,-27,-16,-36,147
148,Low,-14,-15,-37,15,-33,148
149,High,-1,-15,-32,16,31,149
150,High,0,-20,-9,-35,40,150
151,Low,-15,-15,-14,-17,-16,151
152,very_low,-13,-16,-10,-1,-33,152
153,Low,-10,-19,-8,28,-32,153
154,Middle,-6,-14,4,-40,18,154
155,Middle,-5,-13,8,-16,6,155
156,Middle,-4,-15,16,-13,5,156
157,High,0,-17,10,28,37,157
158,Middle,-2,-19,26,-31,13,158
161,Middle,-10,-19,29,35,-16,161
162,High,-4,-6,-45,-25,42,162
163,High,-6,0,-20,-22,43,163
164,very_low,-16,-11,-37,0,-34,164
165,High,-9,-12,-35,-19,44,165
167,High,-11,-9,-1,0,32,167
168,Low,-14,-7,-15,11,-30,168
169,High,-8,4,-13,-28,46,169
170,Low,-7,-9,16,-45,-21,170
171,Middle,-6,-7,15,-16,3,171
172,High,-5,-12,12,4,39,172
173,Low,-9,-3,10,26,-30,173
174,Middle,-3,-1,42,-37,20,174
175,Low,-11,-6,32,-16,-16,175
176,Low,-10,-3,36,16,-27,176
177,High,0,-11,41,26,25,177
178,Middle,-3,19,-25,-27,14,178
181,High,-4,20,-28,50,9,181
182,High,-3,33,-9,-25,43,182
183,Low,-12,10,-6,-20,-16,183
185,Low,0,19,-13,29,-25,185
186,High,0,37,20,-48,47,186
187,Middle,-5,24,14,-20,10,187
188,Low,-12,11,12,6,-21,188
190,Middle,-4,25,35,-33,18,190
191,High,-7,25,25,-19,34,191
192,Middle,-12,15,30,-9,4,192
193,High,-9,16,24,39,21,193
194,Middle,11,-31,-25,-38,20,194
195,Low,6,-35,-20,-24,-17,195
196,very_low,19,-26,-28,-1,-36,196
197,Low,24,-25,-40,23,-20,197
198,Middle,29,-30,-9,-31,17,198
199,very_low,6,-35,-13,-19,-36,199
200,very_low,10,-27,-16,6,-37,200
201,Middle,15,-36,-14,16,4,201
202,very_low,11,-26,8,-41,-36,202
203,Low,20,-43,15,-19,-17,203
204,High,29,-24,21,16,29,204
205,Low,13,-31,5,32,-31,205
206,Middle,21,-27,41,-40,20,206
208,very_low,6,-28,24,-1,-35,208
209,High,36,-40,44,31,22,209
210,Middle,29,-18,-34,-35,16,210
211,Middle,31,-16,-41,-18,5,211
212,High,41,-19,-28,8,33,212
213,Middle,27,-19,-40,34,-12,213
214,Middle,23,-13,1,-29,14,214
215,Low,11,-19,-8,-20,-16,215
216,Low,3,-16,-15,1,-16,216
217,High,11,-14,-16,38,11,217
218,Middle,2,-19,8,-32,18,218
219,Low,8,-15,15,-20,-16,219
220,Low,12,-19,9,13,-22,220
221,Middle,28,-18,12,29,-17,221
222,Middle,30,-16,41,-29,20,222
223,Middle,19,-18,31,-18,10,223
224,Low,8,-15,26,14,-25,224
225,High,28,-16,27,33,22,225
226,Middle,22,2,-34,-26,13,226
227,Low,8,-10,-41,-20,-15,227
228,High,39,-11,-28,6,32,228
229,High,50,4,-40,21,23,229
230,Middle,24,-2,-15,-37,19,230
232,Low,2,-5,-7,10,-23,232
233,High,34,-1,2,42,20,233
234,Middle,17,-7,8,-34,16,234
235,Low,8,-10,4,-22,-16,235
236,Low,3,-4,8,11,-24,236
237,High,17,-9,9,-9,37,237
238,Middle,13,-8,34,-36,18,238
239,Middle,3,-1,35,-19,6,239
240,Low,1,-5,26,13,-26,240
241,High,22,1,48,29,40,241
243,Low,3,40,-41,-22,-21,243
244,Middle,13,17,-23,16,-21,244
245,High,42,12,-21,40,42,245
246,Middle,13,22,-8,-39,20,246
247,Low,8,12,-16,-20,-17,247
248,High,40,23,2,16,44,248
249,Middle,23,15,-2,30,-1,249
250,Middle,19,18,18,-40,20,250
251,Middle,7,15,13,-18,4,251
252,Low,5,6,8,15,-27,252
253,High,12,33,22,43,11,253
254,Middle,29,16,24,-30,14,254
255,High,5,37,24,-20,31,255
256,Middle,1,30,34,12,-20,256
257,High,17,45,29,38,28,257
